TIME;SPEED_NO;SPEED_EO;SPEED_DO;SPEED_3D;ACC_NO;ACC_EO;ACC_DO;X_O;Y_O;Z_O;ALTITUDE;LONGITUDE_RAD;LONGITUDE_DEG;LATITUDE;LATITUDE_DEG;E1_XO;E2_XO;E3_XO
65,56;-3,299143191;10,60227638;1,772958852;11,24437607;0,001263174;-0,011450133;-0,005186635;-24,32821091;76,93931537;13,31194866;3185,416301;0,203498612;11,65961158;0,821286979;47,05627765;-0,308579113;-0,941263065;0,137123208
65,58;-3,359499408;10,59119552;1,782238521;11,25326766;0,000833748;-0,011561133;-0,005281719;-24,38524613;77,10747344;13,34007198;3185,388175;0,20349865;11,6596138;0,82128697;47,05627714;-0,307889431;-0,941488046;0,137128979
65,6;-3,362467649;10,67058373;1,784917812;11,32931937;0,000383223;-0,011651389;-0,005381441;-24,43940169;77,28175916;13,36843737;3185,359808;0,20349869;11,65961609;0,821286961;47,05627665;-0,308595001;-0,942281431;0,129903157
65,62;-3,376175621;10,73854354;1,788447172;11,39795694;-0,000128104;-0,01176109;-0,005507865;-24,50705558;77,49853773;13,40365186;3185,32459;0,20349874;11,65961895;0,821286951;47,05627604;-0,309525913;-0,942990559;0,122321357
65,64;-3,393950747;10,78645364;1,802074531;11,45050027;-0,000699107;-0,011714126;-0,005573072;-24,5747667;77,71583345;13,43891582;3185,289323;0,20349879;11,65962181;0,82128694;47,05627543;-0,310963009;-0,943700031;0,11283731
65,66;-3,399994776;10,82945788;1,819044256;11,4954793;-0,001342525;-0,011723462;-0,005642291;-24,64264053;77,93309797;13,47408839;3185,254148;0,20349884;11,65962468;0,821286929;47,05627482;-0,3125326;-0,944287456;0,10317255
65,68;-3,432782072;10,78876433;1,829907993;11,46865257;-0,001819602;-0,011626778;-0,005868146;-24,71335293;78,14494199;13,50963297;3185,2186;0,203498889;11,65962747;0,821286918;47,05627419;-0,311893181;-0,944201549;0,105858765
65,7;-3,417249475;10,77205759;1,791929042;11,44228248;-0,002319943;-0,011580282;-0,005972507;-24,80725614;78,42840801;13,55768606;3185,170544;0,203498954;11,6596312;0,821286904;47,05627335;-0,309892476;-0,944456132;0,109404146
65,72;-3,388376909;10,76800873;1,696289093;11,41527515;-0,002835606;-0,011559573;-0,006072261;-24,90140412;78,71174792;13,60601185;3185,122214;0,203499019;11,65963494;0,821286889;47,0562725;-0,306865585;-0,94480198;0,114816074
65,74;-3,408983369;10,75537724;1,597129079;11,39518005;-0,003774662;-0,011415936;-0,006170522;-24,99649852;78,993744;13,65439348;3185,073828;0,203499084;11,65963866;0,821286874;47,05627165;-0,303870599;-0,944760346;0,122843591
65,76;-3,454723521;10,73119418;1,567011604;11,38196682;-0,004481056;-0,011226942;-0,00638968;-25,06855194;79,20418014;13,69104361;3185,037175;0,203499133;11,65964143;0,821286863;47,056271;-0,302601863;-0,944386027;0,128713421
65,78;-3,493628015;10,6891572;1,58260052;11,35641416;-0,005283118;-0,011097024;-0,00636565;-25,14045498;79,41493593;13,72720997;3185,001006;0,203499181;11,65964421;0,821286851;47,05627035;-0,301449834;-0,943968251;0,134357501
65,8;-3,532732609;10,64219791;1,627522323;11,33072835;-0,005996557;-0,011010501;-0,00636109;-25,21235249;79,62606534;13,76275635;3184,965457;0,20349923;11,65964699;0,82128684;47,05626971;-0,299156854;-0,943964419;0,139414319
65,82;-3,528376949;10,63436086;1,667280905;11,32779328;-0,006815747;-0,011205754;-0,006331722;-25,2815405;79,83769903;13,79834981;3184,92986;0,203499278;11,65964978;0,821286829;47,05626909;-0,29745556;-0,944180198;0,141576635
65,84;-3,512182257;10,62503563;1,673766527;11,31495916;-0,007511568;-0,011349158;-0,006229182;-25,33679769;80,00692737;13,82625676;3184,901951;0,203499317;11,65965201;0,821286821;47,05626859;-0,296324943;-0,944385884;0,14257219
65,86;-3,503331832;10,59278749;1,695174176;11,28512721;-0,008066397;-0,011498683;-0,00605243;-25,3920733;80,17642687;13,85441025;3184,873795;0,203499356;11,65965424;0,821286812;47,0562681;-0,296297653;-0,944316129;0,143090002
65,88;-3,503325119;10,58353453;1,72913235;11,28159513;-0,008620254;-0,011426158;-0,006117905;-25,4472999;80,34603817;13,88261626;3184,845587;0,203499395;11,65965648;0,821286803;47,0562676;-0,298549097;-0,944283958;0,138550509
65,9;-3,497689144;10,5967373;1,770199663;11,29859627;-0,009388007;-0,011325845;-0,006079695;-25,50257473;80,51543107;13,91089991;3184,817301;0,203499434;11,65965871;0,821286795;47,0562671;-0,301517479;-0,94441117;0,13105248
65,92;-3,513808262;10,6517698;1,807713999;11,36111255;-0,010123053;-0,011255112;-0,006060171;-25,56089351;80,68787864;13,93914624;3184,789052;0,203499474;11,65966098;0,821286786;47,05626658;-0,302242785;-0,945191286;0,123542429
65,94;-3,515354339;10,69448199;1,857087051;11,40957639;-0,010765182;-0,011162047;-0,006117552;-25,6569569;80,97387135;13,98690968;3184,741285;0,20349954;11,65966475;0,82128677;47,05626572;-0,301669752;-0,94595601;0,119006671
65,96;-3,542050342;10,74826071;1,887037844;11,47310511;-0,011267308;-0,011133497;-0,006201311;-25,7531371;81,2606371;14,03505935;3184,693131;0,203499606;11,65966853;0,821286755;47,05626485;-0,301230087;-0,946590201;0,115010546
65,98;-3,680649912;10,81483093;1,897955755;11,58058668;-0,012044565;-0,011036043;-0,006247928;-25,85688793;81,54781707;14,08365911;3184,644527;0,203499672;11,65967232;0,821286739;47,05626392;-0,298391352;-0,947743113;0,112896381
66;-3,762290325;10,83925149;1,875863354;11,62596511;-0,012542634;-0,011133039;-0,006208781;-25,921835;81,72070021;14,11246536;3184,615718;0,203499711;11,65967459;0,821286729;47,05626334;-0,295902131;-0,94838022;0,114091572
66,02;-3,810747363;10,85772875;1,842527436;11,65362503;-0,012892183;-0,011124676;-0,006186092;-25,9863169;81,89375643;14,14163649;3184,586545;0,203499751;11,65967687;0,821286719;47,05626276;-0,293146715;-0,948693404;0,118515097
66,04;-3,840955342;10,86257484;1,814493538;11,66365539;-0,013186874;-0,011205396;-0,006080713;-26,05062679;82,06739318;14,17097704;3184,557202;0,203499791;11,65967916;0,821286709;47,05626218;-0,289481713;-0,948866087;0,125910632
66,06;-3,881431872;10,89227888;1,786323193;11,70035055;-0,013822147;-0,011597645;-0,005886997;-26,11454176;82,24086977;14,20049138;3184,527685;0,203499831;11,65968145;0,821286699;47,05626161;-0,285967373;-0,94889532;0,133492821
66,08;-3,858038299;10,97357073;1,744194916;11,76205467;-0,014299043;-0,011948946;-0,005667131;-26,17349824;82,41747985;14,23044218;3184,497732;0,203499872;11,65968378;0,82128669;47,05626108;-0,28610487;-0,948774089;0,134058687
66,1;-3,872790069;11,04588402;1,673911978;11,82421405;-0,014650534;-0,012140574;-0,005547477;-26,24765497;82,63780274;14,26764248;3184,460528;0,203499922;11,65968668;0,821286678;47,05626041;-0,285885716;-0,948548196;0,136109065
66,12;-3,840196675;11,08656769;1,631630121;11,84572963;-0,01554446;-0,012187441;-0,005468003;-26,32224581;82,85845971;14,30478475;3184,423383;0,203499973;11,65968959;0,821286666;47,05625974;-0,28622569;-0,948661657;0,134595373
66,14;-3,823714437;11,08010291;1,645114918;11,83621036;-0,016297728;-0,012370044;-0,005392649;-26,39663119;83,07932792;14,34146722;3184,386697;0,203500024;11,6596925;0,821286655;47,05625908;-0,286526206;-0,948649989;0,134037055
66,16;-3,807658185;10,93217155;1,701762728;11,70071075;-0,016796953;-0,012375401;-0,00549891;-26,4709556;83,29166865;14,37822136;3184,34994;0,203500073;11,6596953;0,821286643;47,05625841;-0,286524371;-0,946955245;0,145531948
66,18;-3,794450447;10,80518666;1,80315363;11,59315643;-0,017096955;-0,012522416;-0,00553506;-26,57044626;83,57559017;14,42654047;3184,301617;0,203500138;11,65969904;0,821286627;47,05625752;-0,285293416;-0,946174139;0,152846871
